ICSD_code,space_group
106556,P -4 3 m
106567,P -4 3 m
106646,F d -3 m S
106670,F -4 3 m
106701,F d -3 m S
106706,F d -3 m Z
106707,F d -3 m Z
10672,F d -3 m Z
106748,P m -3 m
106781,F -4 3 m
106808,F -4 3 m
106950,F d -3 m S
106997,F d -3 m S
106998,I m -3 m
107145,I m -3 m
107215,F -4 3 m
107216,F -4 3 m
107394,I -4 3 d
107469,I a -3 d
107528,F m -3 c
107533,F m -3 c
107538,P m -3 m
107542,F m -3 c
107543,F m -3
107551,I m -3
107574,P m -3 m
107576,I -4 3 m
107585,F d -3 m Z
107598,I -4 3 m
107599,I -4 3 m
107605,I m -3
107636,F d -3 m Z
107648,F d -3 m S
107649,F d -3 m S
107670,F d -3 m Z
107671,F d -3 m Z
107690,P -4 3 m
107708,F d -3 m S
107808,P 43 3 2
107845,F d -3 m S
107850,F d -3 m S
107946,F -4 3 m
108001,F d -3 m S
108048,F d -3 c Z
108075,P 41 3 2
108093,F m -3 c
108099,F m -3 c
108193,P 43 3 2
108297,P m -3
108392,P -4 3 m
108406,P -4 3 m
108419,I -4 3 m
108565,P 41 3 2
108615,I a -3
108643,F d -3 m S
108763,I m -3 m
108764,F d -3 m Z
108766,F d -3 m Z
108769,F d -3 m Z
108781,P m -3 n
108783,P n -3 n Z
108872,I -4 3 d
108873,I -4 3 d
108888,F m -3 c
108905,I a -3
108940,I 2 3
108966,P n -3 Z
108972,F d -3 m Z
108973,F d -3 m Z
108974,F d -3 m Z
108975,F d -3 m Z
108976,F d -3 m Z
108977,F d -3 m Z
108978,F d -3 m Z
108994,F d -3 m Z
109007,F d -3 m Z
109012,I -4 3 d
109107,I m -3
109136,I -4 3 m
109138,I -4 3 m
109266,I -4 3 m
109271,I -4 3 m
109289,I -4 3 m
109323,I -4 3 d
109342,I -4 3 d
109346,I -4 3 m
109363,I a -3
109376,P a -3
109377,P a -3
109389,P -4 3 n
109419,I a -3
109431,F d -3 m Z
109460,P m -3 m
109477,I -4 3 d
109545,F d -3 c Z
109700,F d -3 m Z
109701,F d -3 m Z
109702,F d -3 m Z
109703,F d -3 m Z
109704,F d -3 m Z
109708,P n -3 m Z
109709,P n -3 m Z
109718,F d -3 c Z
109719,F d -3 c Z
109793,P 21 3
110020,P n -3 n Z
110021,P n -3 n Z
110022,P n -3 n Z
110033,P -4 3 n
110040,P 21 3
110041,P 21 3
110042,P 21 3
110080,I m -3 m
110081,I m -3 m
110082,I m -3 m
110083,I m -3 m
110166,I -4 3 m
110244,I -4 3 m
110309,F d -3 c Z
110312,F d -3 c Z
110313,F d -3 c Z
110314,F d -3 c Z
110315,F d -3 c Z
110317,I m -3 m
110318,I m -3 m
110390,P -4 3 n
110393,P -4 3 n
110394,P -4 3 n
110399,I -4 3 d
110730,P -4 3 m
110748,P -4 3 n
110750,P -4 3 n
11081,F d -3 m Z
11144,I m -3 m
1125,F -4 3 c
11254,F d -3 m Z
11255,F d -3 m Z
11259,F d -3 m Z
1126,F -4 3 c
11261,F d -3 m Z
11263,F d -3 m Z
11265,F d -3 m Z
11267,F d -3 m Z
11269,F d -3 m Z
1127,F -4 3 c
11273,F d -3 m Z
11550,F d -3 m Z
11551,F d -3 m Z
11788,F d -3 m Z
11797,F d -3 m Z
11799,F d -3 m Z
11801,F d -3 m Z
11802,F d -3 m Z
11803,F d -3 m Z
11804,F d -3 m Z
11805,F d -3 m Z
11806,F d -3 m Z
11807,F d -3 m Z
119,P m -3
120,P m -3
121,P m -3
12102,I a -3 d
12105,F d -3 m Z
12173,I -4 3 d
1278,F m -3 m
1286,I m -3
12962,F d -3 m Z
130009,P a -3
130010,F d -3 c Z
130019,P n -3 Z
130021,P m -3 m
1301,P 21 3
13019,I a -3 d
1302,P 21 3
13020,I a -3 d
13021,I a -3 d
13022,I a -3 d
13023,I a -3 d
1303,I m -3
130415,I a -3 d
130416,I a -3 d
130417,I a -3 d
13326,I a -3 d
1341,F m -3 m
13424,F d -3 m Z
13425,F d -3 m Z
1360,I m -3
1361,I m -3
1362,P m -3
1368,F d -3 m Z
1388,F -4 3 m
14000,P -4 3 n
140546,I a -3 d
14082,F -4 3 m
14090,F 4 3 2
1412,I 21 3
14122,I -4 3 m
14123,I a -3
1414,P -4 3 m
14162,P 21 3
14236,F -4 3 c
14242,F d -3 m Z
14279,F m -3 m
14306,P a -3
14316,P a -3
1432,F d -3 m Z
14337,P -4 3 m
14354,P a -3
14359,F -4 3 m
14368,F d -3 m Z
14374,P m -3
14387,I a -3
14388,I a -3
14394,P a -3
14395,P a -3
14396,P a -3
1457,F d -3 m Z
1458,F d -3 m Z
150090,P m -3 m
150092,F -4 3 c
150093,F 2 3
150094,F 2 3
150095,F 2 3
150096,F 2 3
150097,F 2 3
150098,F 2 3
150099,F 2 3
150113,F d -3 m Z
150114,F d -3 m Z
150118,I m -3
15012,P a -3
150131,F d -3 m Z
150137,P m -3 m
150138,P m -3 m
150171,P m -3
150184,P m -3 m
150186,F -4 3 m
150198,I -4 3 m
150206,F d -3 m Z
150207,F d -3 m Z
150208,F d -3 m Z
150209,F d -3 m Z
150210,F d -3 m Z
150211,F d -3 m Z
150233,F d -3 m S
150234,F d -3 m S
150236,F d -3 m S
150237,F d -3 m S
150238,F d -3 m S
150239,P 43 3 2
150240,P 43 3 2
150241,P 43 3 2
150242,P 43 3 2
150314,P 41 3 2
150315,P 41 3 2
150344,F -4 3 m
150394,P 21 3
150395,P 21 3
150445,P n -3 m Z
150446,P n -3 m Z
150458,P m -3 m
150463,P 21 3
150464,P 21 3
150470,I -4 3 d
150476,F m -3 c
150540,F d -3 m Z
150645,F 2 3
150649,I -4 3 m
150655,I -4 3 m
150677,I a -3
150775,F m -3 c
150777,I m -3
150813,I a -3
150824,I -4 3 m
15084,P a -3
150915,F d -3 m Z
150922,I -4 3 m
150973,I -4 3 d
150976,P a -3
151197,I 4 3 2
15134,F m -3
151371,P -4 3 m
151433,P m -3 m
151444,F d -3 m S
151445,F -4 3 m
151467,P 21 3
151494,P -4 3 n
151495,P -4 3 n
151496,P -4 3 n
151497,P -4 3 n
151498,P -4 3 n
151499,P -4 3 n
151500,P -4 3 n
151501,P -4 3 n
151502,P -4 3 n
151503,P -4 3 n
151504,P -4 3 n
151505,P -4 3 n
151506,P -4 3 n
151507,P -4 3 n
151508,P -4 3 n
151509,P -4 3 n
151510,P -4 3 n
151511,P -4 3 n
151512,P -4 3 n
151513,P -4 3 n
151514,P -4 3 n
151515,P -4 3 n
151516,P -4 3 n
151517,P -4 3 n
151518,P -4 3 n
151519,P -4 3 n
151522,F d -3 m Z
151528,P m -3 m
151544,P 41 3 2
151545,P 41 3 2
151559,F d -3 Z
151561,I -4 3 d
151587,I m -3
151631,I -4 3 d
151632,I -4 3 d
151638,F d -3 m Z
151639,F d -3 m Z
15171,F -4 3 c
15172,F d -3 m Z
151732,F d -3 m Z
151733,F d -3 m Z
151734,F d -3 m Z
151747,F d -3 m Z
151748,P 21 3
151749,P 21 3
151768,P m -3 n
151769,P m -3 n
151770,P m -3 n
151780,F d -3 m Z
151826,F d -3 m S
151841,F d -3 Z
151880,P m -3 n
151881,F d -3 m Z
151903,F d -3 m Z
151922,F d -3 m Z
151948,F d -3 Z
151970,F d -3 m Z
151980,F 41 3 2
151981,F m -3
152035,P -4 3 m
152036,P -4 3 m
152038,P -4 3 m
152085,F d -3 m Z
152109,F d -3 m Z
152110,F d -3 m Z
152111,F d -3 m Z
152112,F d -3 m Z
152113,F d -3 m Z
152114,F d -3 m Z
152128,I 21 3
152207,F d -3 m Z
152208,F d -3 m Z
152209,F d -3 m Z
152210,F d -3 m Z
152211,F d -3 m Z
152212,F d -3 m Z
152213,F d -3 m Z
152214,F d -3 m Z
152215,F d -3 m Z
152216,F d -3 m Z
152217,F d -3 m Z
152218,F d -3 m Z
152219,F d -3 m Z
152220,F d -3 m Z
152221,F d -3 m Z
152237,P m -3 m
152245,P 41 3 2
152246,P 41 3 2
152247,P 41 3 2
152248,P 41 3 2
152249,P 41 3 2
152250,P 41 3 2
152251,P 41 3 2
152252,P 41 3 2
152253,P 41 3 2
152254,P 41 3 2
152255,P 41 3 2
152257,P 41 3 2
152258,P 41 3 2
152259,P 41 3 2
152260,P 41 3 2
152261,P 41 3 2
152262,P 41 3 2
152263,P 41 3 2
152264,P 41 3 2
152283,P n -3 Z
152329,F d -3 m Z
152346,F -4 3 m
152348,F -4 3 m
152396,P m -3 n
152397,P m -3 n
15242,I -4 3 m
152449,I a -3
152450,I a -3
152451,I a -3
152452,I a -3
152453,I a -3
152454,I a -3
152455,I a -3
152456,I a -3
152457,I a -3
152458,I a -3
152459,I a -3
15246,P m -3 m
152460,I a -3
152461,I a -3
152462,I a -3
152465,I a -3
152466,P m -3 m
152467,F d -3 m Z
152468,F d -3 m Z
152469,F d -3 m Z
152470,F d -3 m Z
152488,F d -3 m Z
152563,P m -3 m
152594,F d -3 m Z
152620,F d -3 m Z
152655,F d -3 m Z
152656,F d -3 m Z
152663,F d -3 m Z
152717,F d -3 m Z
152767,F d -3 m Z
152784,P a -3
152786,I -4 3 d
152794,F -4 3 m
152795,F -4 3 m
152796,F -4 3 m
152797,F -4 3 m
152798,F -4 3 m
152877,P m -3 m
1529,I a -3
152987,P m -3 m
1530,P -4 3 n
153025,F d -3 m Z
153026,F d -3 m Z
153053,F d -3 m Z
153056,P m -3 m
153060,P a -3
15307,F d -3 m Z
153070,I m -3 m
153071,I m -3 m
153072,I m -3 m
153077,F d -3 m Z
153078,F d -3 m Z
15308,F d -3 m Z
153099,P m -3 n
15310,P a -3
153108,F -4 3 m
153125,F 4 3 2
153126,F 4 3 2
15313,P n -3 Z
153174,P m -3 m
153208,F 4 3 2
153210,I m -3 m
153211,I m -3 m
153222,F d -3 m Z
153223,F d -3 m Z
153224,F d -3 m Z
153225,F d -3 m Z
153226,F d -3 m Z
153227,F d -3 m Z
153228,F d -3 m Z
153229,F d -3 m Z
153230,F d -3 m Z
153231,F d -3 m Z
153240,P 21 3
153241,P 21 3
153242,P 21 3
153243,P 21 3
153244,P 21 3
153245,P 21 3
153246,P 21 3
153250,F -4 3 m
153255,P -4 3 n
153259,I 21 3
153260,I 21 3
153333,F d -3 m Z
153340,I 21 3
153342,F d -3 m Z
153344,F d -3 m Z
153345,F d -3 m Z
153346,F d -3 m Z
153347,F d -3 m Z
153348,F d -3 m Z
153349,F d -3 m Z
153350,F d -3 m Z
153351,F d -3 m Z
153352,F d -3 m Z
15336,P -4 3 n
153386,I m -3
153397,P m -3 m
153398,P m -3 m
153399,P m -3 m
153400,P m -3 m
153401,P m -3 m
153402,P m -3 m
153403,P m -3 m
153404,P m -3 m
153405,P m -3 m
153419,I -4 3 m
153420,I m -3
153421,I m -3
153422,I m -3
153423,I m -3
153461,P 41 3 2
153462,P 41 3 2
153463,P 41 3 2
153464,P 41 3 2
153465,P 41 3 2
153466,P 41 3 2
153467,P 41 3 2
153500,I a -3
153501,I a -3
153510,F -4 3 m
153511,P 21 3
15368,P a -3
153685,P m -3 n
153686,P m -3 n
153687,P m -3 n
153688,P m -3 n
153714,P m -3 n
153715,P m -3 n
153716,P m -3 n
153717,P m -3 n
153718,P m -3 n
153719,P m -3 n
153720,P m -3 n
153721,P m -3 n
153722,P m -3 n
153723,P m -3 n
153724,P m -3 n
153725,P m -3 n
153726,P m -3 n
153727,P m -3 n
153728,P m -3 n
153729,P m -3 n
153730,P m -3 n
153731,P m -3 n
153732,P m -3 n
153733,P m -3 n
153734,P m -3 n
153735,P m -3 n
153736,P m -3 n
153737,P m -3 n
153738,P m -3 n
153739,P m -3 n
153740,P m -3 n
153741,P m -3 n
153742,P m -3 n
153743,P m -3 n
153744,P m -3 n
153745,P m -3 n
153746,P m -3 n
153747,P m -3 n
153748,P m -3 n
153749,P m -3 n
153750,P m -3 n
153751,P m -3 n
153752,P m -3 n
153753,P m -3 n
153754,P m -3 n
153755,P m -3 n
153756,P m -3 n
153757,P m -3 n
153758,P m -3 n
153759,P m -3 n
153760,P m -3 n
153761,P m -3 n
153762,P m -3 n
153763,P m -3 n
153808,I -4 3 d
153809,I -4 3 d
153810,I -4 3 d
153895,P n -3 m Z
153905,I a -3
153909,I m -3 m
15392,P m -3 m
15393,P m -3 m
153933,I 2 3
153934,I -4 3 d
153935,I -4 3 d
153936,I -4 3 d
153937,I -4 3 d
153967,I m -3
153968,I m -3
153969,I m -3
153970,I m -3
153971,I m -3
153972,I m -3
153973,I m -3
153974,I m -3
153975,I m -3
153976,I m -3
153977,I m -3
154076,P -4 3 n
154086,F -4 3 m
154087,F -4 3 m
154090,P 43 3 2
154091,P 43 3 2
154141,F d -3 m Z
154142,F d -3 m Z
154145,P 43 3 2
154146,P 43 3 2
154147,P 43 3 2
154152,F d -3 m Z
154153,F d -3 m Z
154154,F d -3 m Z
154155,F d -3 m Z
154156,F d -3 m Z
154157,F d -3 m Z
154158,F d -3 m Z
154159,F d -3 m Z
154160,F d -3 m Z
154161,F d -3 m Z
154162,F d -3 m Z
154163,F d -3 m Z
154189,I m -3
154316,F d -3 m Z
154320,P n -3 m Z
154347,I a -3
154348,I a -3
154349,I a -3
154350,I a -3
154351,I a -3
154352,I a -3
15438,I a -3 d
154384,F d -3 m Z
154385,F d -3 m Z
154386,F d -3 m Z
154387,F d -3 m Z
154388,F d -3 m Z
15439,I -4 3 d
154391,F m -3 c
154393,I a -3 d
154400,I a -3 d
154411,F -4 3 m
154412,P 21 3
154416,F d -3 m S
154479,F -4 3 m
154480,F -4 3 m
154482,F -4 3 m
154524,I m -3
154525,I m -3
154526,I m -3
15456,I a -3 d
15457,I m -3
15458,I m -3
1546,F m -3 m
154664,I -4 3 d
154686,I -4 3 m
1547,F m -3 m
154716,P a -3
15472,P a -3
154724,F d -3 m Z
154725,F d -3 m Z
154726,F d -3 m Z
154727,F d -3 m Z
154728,F d -3 m Z
154729,F d -3 m Z
154730,F d -3 m Z
154756,F d -3 m Z
154757,F d -3 m Z
154758,F d -3 m Z
154759,F d -3 m Z
154778,I a -3
1548,F m -3 m
154820,F d -3 m Z
1549,F m -3 m
15490,P -4 3 m
154914,I a -3 d
154915,I a -3 d
154928,F m -3 c
154929,F m -3 c
154930,F m -3 c
154931,F m -3 c
154932,F m -3 c
154933,F m -3 c
154934,F m -3 c
154935,F m -3 c
154936,F m -3 c
154937,F m -3 c
154938,F m -3 c
154939,F m -3 c
154941,F m -3 c
154942,F m -3 c
155018,I a -3 d
155019,I a -3 d
155029,P 43 3 2
155030,F d -3 m Z
155056,P -4 3 n
155111,F d -3 m Z
155116,F d -3 m Z
155173,I a -3
155178,I m -3
155179,I m -3
155180,I m -3
155181,I m -3
155182,I m -3
155183,I m -3
155184,I m -3
155185,I m -3
155186,I m -3
155187,I m -3
155188,I m -3
155215,I m -3
155226,F d -3 Z
155227,P -4 3 n
155228,F d -3 m Z
155229,F d -3 m Z
155230,F d -3 Z
155231,F d -3 m Z
155275,F d -3 m Z
155276,F d -3 m Z
155277,F d -3 m Z
155278,F d -3 m Z
155279,F d -3 m Z
155280,F d -3 m Z
155281,F d -3 m Z
155282,F d -3 m Z
155302,I a -3
155303,I a -3
155321,F d -3 m Z
155322,F d -3 m Z
155323,F d -3 m Z
155335,F d -3 m Z
15536,F -4 3 m
155368,F d -3 m Z
155370,F d -3 m Z
155382,I -4 3 d
155383,I -4 3 d
155386,P m -3
155387,P m -3
155388,P m -3
155390,F d -3 m S
155394,I a -3
155443,F -4 3 m
155444,F -4 3 m
155469,F d -3 m Z
155495,F -4 3 m
155539,F d -3 m Z
155540,F d -3 m Z
155558,F d -3 m Z
155559,F d -3 m Z
155560,F d -3 m Z
155561,F d -3 m Z
155562,F d -3 m Z
155563,F d -3 m Z
155636,F d -3 m Z
155637,F d -3 m Z
155649,F d -3 m Z
155665,F d -3 m Z
155666,F d -3 m Z
155667,F d -3 m Z
155668,F d -3 m Z
155712,P 21 3
155719,P 41 3 2
155720,P -4 3 n
155753,I m -3
155761,F d -3 m Z
155762,F d -3 m Z
155763,F d -3 m Z
155764,F d -3 m Z
155765,F d -3 m Z
155766,F d -3 m Z
155767,F d -3 m Z
155768,F d -3 m Z
155769,F d -3 m Z
15577,P a -3
155770,F d -3 m Z
155771,F d -3 m Z
155772,F d -3 m Z
155773,F d -3 m Z
155822,P m -3
155823,P m -3
15583,P -4 3 n
155906,F d -3 m Z
155907,F d -3 m Z
155908,F d -3 m Z
155909,F d -3 m Z
155910,F d -3 m Z
155993,F d -3 m Z
156002,P 43 3 2
156003,F d -3 m Z
156015,F d -3 m Z
156016,F d -3 m Z
156017,F d -3 m Z
156091,F d -3 m Z
156092,F d -3 m Z
156096,F d -3 m S
156230,P m -3 n
156232,P m -3 n
156258,I m -3
156295,I -4 3 d
156310,F d -3 m Z
15633,F d -3 m Z
156366,F d -3 m Z
156367,F d -3 m Z
156368,F d -3 m Z
156376,F d -3 m Z
15638,I -4 3 m
156384,F d -3 m Z
156385,F d -3 m Z
156409,F d -3 m Z
156436,F d -3 m Z
156437,F d -3 m Z
156438,I -4 3 d
156439,I -4 3 d
156464,I m -3
156465,P 43 3 2
156466,P 43 3 2
156468,I m -3
156469,I m -3
156470,I m -3
156489,F d -3 m Z
156490,I 2 3
156491,F -4 3 m
156492,F -4 3 m
156493,F -4 3 m
156494,F -4 3 m
156495,F -4 3 m
156496,F -4 3 m
156497,F -4 3 m
156498,F -4 3 m
1565,F m -3 m
156500,F d -3 m Z
156528,I a -3 d
156529,I a -3 d
156530,I a -3 d
156531,I a -3 d
156532,I a -3 d
156533,I a -3 d
156534,I a -3 d
156535,I a -3 d
156536,I a -3 d
156537,I a -3 d
156578,F d -3 m Z
156579,F d -3 m Z
156580,F d -3 m Z
156583,F d -3 m Z
156584,F d -3 m Z
156585,F d -3 m Z
156593,I a -3 d
156594,I a -3 d
156595,I a -3 d
156616,F d -3 m Z
156617,F d -3 m Z
156688,F 4 3 2
156776,F m -3 c
156963,F d -3 m Z
15698,P a -3
156981,P -4 3 m
156982,I a -3 d
156983,P m -3 n
156985,P m -3 n
156986,P m -3 n
157313,P 43 3 2
157314,F d -3 m Z
157315,P 43 3 2
157316,F d -3 m Z
157317,F d -3 m Z
15732,P 41 3 2
15733,I 41 3 2
157333,F d -3 m Z
157334,F d -3 m Z
157339,F d -3 m Z
15734,I 41 3 2
157340,F d -3 m Z
157351,F d -3 m Z
157397,F d -3 m Z
157399,F d -3 m Z
157400,F d -3 m Z
157431,F -4 3 m
157470,P 43 3 2
15749,P -4 3 m
157531,F d -3 m Z
157532,F d -3 m Z
157533,F d -3 m Z
157534,F d -3 m Z
157560,I -4 3 d
15757,I m -3
157628,I a -3 d
157639,F -4 3 m
157640,F -4 3 m
157641,F -4 3 m
157642,F -4 3 m
157643,F -4 3 m
157644,F -4 3 m
157645,F -4 3 m
157646,F -4 3 m
157750,I a -3
157834,F d -3 m Z
157835,F d -3 m Z
157836,F d -3 m Z
157879,P 21 3
157880,P 21 3
15794,I -4 3 d
157957,P n -3 Z
157965,F -4 3 m
15800,I -4 3 m
158018,I a -3 d
158019,I a -3 d
158048,F d -3 m Z
158049,F d -3 m Z
158050,F d -3 m Z
158051,F d -3 m Z
158052,F d -3 m Z
158053,F d -3 m Z
158054,F d -3 m Z
158055,F d -3 m Z
158056,F d -3 m Z
158057,F d -3 m Z
158058,F d -3 m Z
158059,F d -3 m Z
158060,F d -3 m Z
158061,F d -3 m Z
158062,F d -3 m Z
158063,F d -3 m Z
158064,F d -3 m Z
158065,F d -3 m Z
158066,F d -3 m Z
158067,F d -3 m Z
158068,F d -3 m Z
158101,I a -3 d
158102,I a -3 d
158107,F d -3 m Z
15811,I a -3 d
158157,I a -3 d
158158,I a -3 d
158159,I a -3 d
158160,I a -3 d
158161,I a -3 d
158162,I a -3 d
158163,I a -3 d
158164,I a -3 d
158165,I a -3 d
158166,I a -3 d
158180,I 21 3
158194,F -4 3 m
158195,F -4 3 m
158196,F -4 3 m
158197,F -4 3 m
158198,F -4 3 m
158213,F d -3 m Z
158214,F d -3 m Z
158215,F d -3 m Z
158216,F d -3 m Z
158217,F d -3 m Z
158218,F d -3 m Z
158219,F d -3 m Z
158220,F d -3 m Z
158221,F d -3 m Z
158222,F d -3 m Z
158223,F d -3 m Z
158224,F d -3 m Z
158225,F d -3 m Z
158226,F d -3 m Z
158227,F d -3 m Z
158228,F d -3 m Z
158229,F d -3 m Z
158230,F d -3 m Z
158231,F d -3 m Z
158232,F d -3 m Z
158244,F -4 3 m
158247,I -4 3 m
158312,F -4 3 m
15837,I a -3 d
158372,I a -3 d
158373,I a -3 d
158402,F d -3 m Z
158431,F d -3 m Z
158486,P 21 3
158487,P 21 3
158505,F d -3 m Z
158506,F d -3 m Z
158537,I a -3 d
158566,I a -3 d
158567,I a -3 d
158568,I a -3 d
1586,I -4 3 m
158611,F d -3 m Z
15862,P n -3 Z
15863,P n -3 Z
158634,I a -3 d
158635,I a -3 d
158636,I a -3 d
158637,I a -3 d
158638,I a -3 d
158639,I a -3 d
158640,I a -3 d
158662,F d -3 m Z
158663,F d -3 m Z
158664,F d -3 m Z
158665,F d -3 m Z
158666,F d -3 m Z
158667,F d -3 m Z
158668,F d -3 m Z
158669,F d -3 m Z
158670,F d -3 m Z
158671,F d -3 m Z
158672,F d -3 m Z
158673,F d -3 m Z
158674,F d -3 m Z
158675,F d -3 m Z
158676,F d -3 m Z
158677,F d -3 m Z
158678,F d -3 m Z
158679,F d -3 m Z
158680,F d -3 m Z
158681,F d -3 m Z
158682,F d -3 m Z
158683,F d -3 m Z
158684,F d -3 m Z
158685,F d -3 m Z
158686,F d -3 m Z
158687,F d -3 m Z
158688,F d -3 m Z
158689,F d -3 m Z
158690,F d -3 m Z
158691,F d -3 m Z
158692,F d -3 m Z
158693,F d -3 m Z
158694,F d -3 m Z
158695,F d -3 m Z
158696,F d -3 m Z
158697,F d -3 m Z
158698,F d -3 m Z
158699,F d -3 m Z
158700,F d -3 m Z
158701,F d -3 m Z
158702,F d -3 m Z
158703,F d -3 m Z
158704,F d -3 m Z
158705,F d -3 m Z
158706,F d -3 m Z
158707,F d -3 m Z
158708,F d -3 m Z
158709,F d -3 m Z
158710,F d -3 m Z
158711,F d -3 m Z
158712,F d -3 m Z
158713,F d -3 m Z
158714,F d -3 m Z
158715,F d -3 m Z
158716,F d -3 m Z
158717,F d -3 m Z
158718,F d -3 m Z
158719,F d -3 m Z
158720,F d -3 m Z
158721,F d -3 m Z
158722,F d -3 m Z
158723,F d -3 m Z
158724,F d -3 m Z
158725,F d -3 m Z
158740,F d -3 m Z
158741,F d -3 m Z
158742,F d -3 m Z
158743,F d -3 m Z
158744,F d -3 m Z
158745,F d -3 m Z
158746,F d -3 m Z
158837,F d -3 m Z
158854,I -4 3 m
158856,I -4 3 d
158857,I -4 3 d
158860,I a -3 d
158863,P m -3 n
158870,P m -3 n
158958,P a -3
158961,F d -3 S
158962,F d -3 S
159014,F d -3 m Z
159015,F d -3 m Z
159016,F d -3 m Z
159017,F d -3 m Z
159018,F d -3 m Z
159019,F d -3 m Z
159020,F d -3 m Z
159021,F d -3 m Z
159022,F d -3 m Z
159023,F d -3 m Z
159024,F d -3 m Z
159025,F d -3 m Z
159044,I a -3 d
159148,F d -3 m Z
159198,F -4 3 m
159205,I 21 3
159233,F d -3 m Z
159234,F d -3 m Z
159235,F d -3 m Z
159236,F d -3 m Z
159237,F d -3 m Z
159246,F d -3 m Z
159247,F m -3 c
159281,I a -3
159286,F d -3 m Z
159287,F d -3 m Z
159288,F d -3 m Z
159289,F d -3 m Z
159290,F d -3 m Z
159291,F d -3 m Z
159292,F d -3 m Z
159293,F d -3 m Z
159294,F d -3 m Z
159295,F d -3 m Z
159312,F d -3 m Z
159313,F d -3 m Z
159333,I -4 3 m
159350,F d -3 m Z
159395,I m -3
159396,I m -3
159423,F d -3 m Z
159424,F d -3 m Z
159425,F d -3 m Z
159426,I a -3 d
159431,I -4 3 d
159592,F -4 3 m
159600,F d -3 m Z
159605,F d -3 m Z
159615,F d -3 m Z
159620,F d -3 m Z
